time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2026-01-05T21:05:00+08:00,4415.62,4418.85,4407.21,4409.19,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3283.1,3285.54,3278.65,3279.57,3,2,1,0
2026-01-05T21:10:00+08:00,4409.2,4412.37,4407.36,4409.13,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3279.47,3282.21,3278.38,3279.77,3,2,1,0
2026-01-05T21:15:00+08:00,4408.98,4412.62,4407.6,4411.4,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3279.72,3283.04,3279,3282.3,3,2,1,0
2026-01-05T21:20:00+08:00,4411.39,4413.25,4402.49,4405.96,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3282.19,3284.25,3276.44,3279.13,3,2,1,0
2026-01-05T21:25:00+08:00,4406.52,4407.58,4396.89,4399.71,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3279.53,3280.42,3273.6,3275.55,3,2,1,0
2026-01-05T21:30:00+08:00,4399.8,4408.76,4396.27,4408.69,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3275.72,3282.52,3273.43,3282.16,3,2,1,0
2026-01-05T21:35:00+08:00,4409.08,4412.42,4407.34,4410.88,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3282.42,3285.32,3281.04,3285.2,3,2,1,0
2026-01-05T21:40:00+08:00,4410.88,4414.3,4410.88,4412.2,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3285.22,3287.48,3284.59,3285.35,3,2,1,0
2026-01-05T21:45:00+08:00,4412.46,4415.06,4411.78,4414.06,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3285.3,3287.19,3284.66,3286.48,3,2,1,0
2026-01-05T21:50:00+08:00,4414.42,4415.07,4412.51,4412.89,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3286.24,3286.73,3282.57,3282.82,3,2,1,0
