time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2026-03-05T08:20:00+08:00,1.16415,1.16442,1.16414,1.16436,,1.16442,1.16414,1.16436
2026-03-05T08:25:00+08:00,1.16434,1.16438,1.16422,1.1643,,1.16438,1.16422,1.1643
2026-03-05T08:30:00+08:00,1.16428,1.16428,1.16396,1.16413,,1.16428,1.16396,1.16413
2026-03-05T08:35:00+08:00,1.16407,1.1644,1.16402,1.16439,,1.1644,1.16402,1.16439
2026-03-05T08:40:00+08:00,1.16438,1.16455,1.16437,1.16439,,1.16455,1.16437,1.16439
2026-03-05T08:45:00+08:00,1.1644,1.16442,1.16418,1.16439,,1.16442,1.16418,1.16439
2026-03-05T08:50:00+08:00,1.16438,1.1645,1.16424,1.16447,,1.1645,1.16424,1.16447
2026-03-05T08:55:00+08:00,1.16444,1.16455,1.16442,1.1645,,1.16455,1.16442,1.1645
2026-03-05T09:00:00+08:00,1.16451,1.16451,1.16382,1.16386,,1.16451,1.16382,1.16386
2026-03-05T09:05:00+08:00,1.16387,1.16403,1.16371,1.16391,,1.16403,1.16371,1.16391
2026-03-05T09:10:00+08:00,1.1639,1.16436,1.16389,1.16413,,1.16436,1.16389,1.16413
2026-03-05T09:15:00+08:00,1.16414,1.16454,1.16414,1.16443,,1.16454,1.16414,1.16443
2026-03-05T09:20:00+08:00,1.16439,1.16445,1.16424,1.16433,,1.16445,1.16424,1.16433
2026-03-05T09:25:00+08:00,1.16432,1.1647,1.16423,1.1647,,1.1647,1.16423,1.1647
2026-03-05T09:30:00+08:00,1.16471,1.16476,1.16418,1.16423,,1.16476,1.16418,1.16423
2026-03-05T09:35:00+08:00,1.16421,1.16421,1.16359,1.16363,,1.16421,1.16359,1.16363
2026-03-05T09:40:00+08:00,1.16365,1.16367,1.1631,1.16327,,1.16367,1.1631,1.16327
2026-03-05T09:45:00+08:00,1.16326,1.16328,1.16301,1.16318,,1.16328,1.16301,1.16318
2026-03-05T09:50:00+08:00,1.16316,1.16324,1.16289,1.16312,,1.16324,1.16289,1.16312
2026-03-05T09:55:00+08:00,1.16309,1.16316,1.16271,1.16282,,1.16316,1.16271,1.16282
2026-03-05T10:00:00+08:00,1.16284,1.1631,1.16271,1.16297,,1.1631,1.16271,1.16297
2026-03-05T10:05:00+08:00,1.16298,1.16314,1.16283,1.16298,,1.16314,1.16283,1.16298
2026-03-05T10:10:00+08:00,1.16297,1.16312,1.16292,1.16296,,1.16312,1.16292,1.16296
2026-03-05T10:15:00+08:00,1.16296,1.16319,1.16279,1.16315,,1.16319,1.16279,1.16315
2026-03-05T10:20:00+08:00,1.16314,1.16314,1.16224,1.16248,,1.16314,1.16224,1.16248
2026-03-05T10:25:00+08:00,1.1625,1.16273,1.1624,1.16268,,1.16273,1.1624,1.16268
2026-03-05T10:30:00+08:00,1.16267,1.16268,1.16226,1.16234,,1.16268,1.16226,1.16234
2026-03-05T10:35:00+08:00,1.16231,1.16247,1.16223,1.16247,,1.16247,1.16223,1.16247
2026-03-05T10:40:00+08:00,1.16249,1.16282,1.16248,1.16275,,1.16282,1.16248,1.16275
2026-03-05T10:45:00+08:00,1.16277,1.16295,1.16274,1.16295,,1.16295,1.16274,1.16295
2026-03-05T10:50:00+08:00,1.16294,1.16308,1.16264,1.16265,,1.16308,1.16264,1.16265
2026-03-05T10:55:00+08:00,1.16266,1.16269,1.16245,1.16258,,1.16269,1.16245,1.16258
2026-03-05T11:00:00+08:00,1.16256,1.16277,1.1624,1.16244,,1.16277,1.1624,1.16244
2026-03-05T11:05:00+08:00,1.16242,1.16262,1.16242,1.16251,,1.16262,1.16242,1.16251
2026-03-05T11:10:00+08:00,1.16252,1.16253,1.16198,1.16206,,1.16253,1.16198,1.16206
2026-03-05T11:15:00+08:00,1.16207,1.16213,1.1616,1.16171,,1.16213,1.1616,1.16171
2026-03-05T11:20:00+08:00,1.16173,1.16175,1.16142,1.16174,,1.16175,1.16142,1.16174
2026-03-05T11:25:00+08:00,1.16175,1.16175,1.16123,1.16143,,1.16175,1.16123,1.16143
2026-03-05T11:30:00+08:00,1.16144,1.16148,1.16099,1.16107,,1.16148,1.16099,1.16107
2026-03-05T11:35:00+08:00,1.16108,1.16146,1.16103,1.16139,,1.16146,1.16103,1.16139
2026-03-05T11:40:00+08:00,1.1614,1.1616,1.16138,1.1614,,1.1616,1.16138,1.1614
2026-03-05T11:45:00+08:00,1.16141,1.16157,1.16131,1.16133,,1.16157,1.16131,1.16133
2026-03-05T11:50:00+08:00,1.16132,1.1615,1.16122,1.16132,,1.1615,1.16122,1.16132
2026-03-05T11:55:00+08:00,1.16131,1.16138,1.16109,1.16134,,1.16138,1.16109,1.16134
2026-03-05T12:00:00+08:00,1.16131,1.16133,1.16096,1.16102,,1.16133,1.16096,1.16102
2026-03-05T12:05:00+08:00,1.16104,1.16144,1.16102,1.16136,,1.16144,1.16102,1.16136
